,UEN,MATCHED_NAME,COMPANY_NAME,PIC_NAME,DESIGNATION,CONTACT_NUMBER_1_FORMATTED,CONTACT_NUMBER_2_FORMATTED,CONTACT_NUMBER_3_FORMATTED,ADDRESS,EMAIL_1,EMAIL_2,EMAIL_3,COMPANY_STATUS
583,201407431Z,MITSUBA JAPANESE RESTAURANT PTE. LTD.,MITSUBA JAPANESE RESTAURANT PTE LTD,,,65 9817 4155,,,,william.chia@mitsuba.com.sg,,,LIVE COMPANY
584,200209029R,MOGHUL MAHAL RESTAURANT PTE. LTD.,MOGHUL MAHAL RESTAURANT PTE LTD,,,65 6338 6907,,,,moghulmahal@hotmail.com,,,LIVE COMPANY
585,200913629H,MOKSHA PTE. LTD.,MOKSHA BAR PTE LTD,,,65 9069 6176,,,,moghulmahal@hotmail.com,,,LIVE COMPANY
586,202001313N,MR UNCLE & AUNTYS KITCHEN PTE. LTD.,MR UNCLE & AUNTYS KITCHEN PTE LTD,,,65 9757 5500,,,,hr@uncleauntykitchen.com,,,LIVE COMPANY
587,201524907K,MURASAKI PTE. LTD.,MURASAKI PTE LTD,,,65 9827 9992,,,,max161892@gmail.com,,,LIVE COMPANY
588,201919245R,MYPIZZA PTE. LTD.,MYPIZZA PTE. LTD,,,65 8686 4471,,,,contact@mypizza.com.sg,,,LIVE COMPANY
589,200310249E,NATURE VEGETARIAN CATERING PTE. LTD.,NATURE VEGETARIAN CATERING PTE LTD,,,65 9797 0045,,,,Natureveg88@gmail.com,,,LIVE COMPANY
590,201430047Z,NEW STAGE FOOD PTE. LTD.,NEW STAGE FOOD PTE LTD,,,65 9022 7469,,,,Jiewei.ng@gmail.com,,,LIVE COMPANY
591,201906695K,NG KUAN CHILLI PAN MEE PTE. LTD.,NG KUAN CHILLI PAN MEE PTE LTD,,,65 8822 5637,,,,Ngkuanchillipanmee@outlook.com,,,LIVE COMPANY
592,201412313W,NO. 27 BISTRO & BAR PTE. LTD.,NO. 27 BISTRO & BAR PTD. LTD.,,,65 9003 1714,,,,7collis@gmail.com,,,LIVE COMPANY
593,201301789M,YESTERDAE PTE. LTD.,YESTERDAE PTE LTD,,,65 9365 6631,,,,Jill@noothermeaning.com, christie@noothermeaning.com,,LIVE COMPANY
594,201603445W,NUR FAYIDHA RESTAURANT PTE. LTD.,NUR FAYIDHA RESTAURANT PTE LTD,,,65 9146 1684,,,,nisfayi@hotmail.com,,,LIVE COMPANY
595,201419245W,OMAR SHARIFF AUTHENTIC INDIAN CUISINE PTE. LTD.,OMAR SHARIFF AUTHENTIC INDIAN CUISINE PTE LTD,,,65 8442 6910,,,,omarshariffaic@gmail.com,,,LIVE COMPANY
596,201419245W,OMAR SHARIFF AUTHENTIC INDIAN CUISINE PTE. LTD.,OMAR SHARIFF INDIAN AUTHENTIC CUISINE PTE LTD,,,65 8442 6910,,,,omarshariffaic@gmail.com,,,LIVE COMPANY
597,201131116K,ONION RESTAURANT & BAR PTE. LTD.,ONION RESTAURANT & BAR PTE LTD,,,65 6270 3186,,,,,,,LIVE COMPANY
598,53474182K,OPHELIA,OPHELIA WILD PTE LTD,,,65 9851 0656,,,,pearly@theaffogatobar.com,,,LIVE
599,200907208C,PAPA PALHETA PTE. LTD.,PAPA PALHETA PTE LTD,,,65 9227 9086,,,,alvin@pppcoffee.com,,,LIVE COMPANY
600,201014375N,PARADISE HOTPOT PTE. LTD.,PARADISE HOTPOT PTE LTD,,,65 9369 9953,,,,accounts@paradisegroup.com.sg, yewyew@paradisegroup.com.sg, weiping@paradisegroup.com.sg,LIVE COMPANY
601,201942457Z,PARADISE PALACE PTE. LTD.,PARADISE PALACE PTE LTD,,,65 9100 2206,,,,cateringatparadise@gmail.com,,,LIVE COMPANY
602,201908500Z,PARTEA DOWNTOWN GALLERY PTE. LTD.,PARTEA DOWNTOWN GALLERY PTE LTD,,,65 8498 6697,,,,alexxiang@partea.com.sg,,,LIVE COMPANY
603,T01PF0706E,PAUL GO & CO,PAUL SINGAPORE PTE LTD,,,65 9474 5743,,,,DCHOY@paul-singapore.com,,,LIVE
604,201836143D,PENGUIN'S KITCHEN PTE. LTD.,PENGUIN KITCHEN PTE LTD,,,65 9100 4775,,,,iampenguins@hotmail.com,,,LIVE COMPANY
605,201013993H,PENIEL REMNANT PTE. LTD.,PENIEL REMNANT PTE LTD,,,65 6861 8556,,,,sarah@remnants.com.sg,,,LIVE COMPANY
606,201628198H,PERSEKUTUAN PTE. LTD.,PERSEKUTUAN PTE LTD,,,65 9344 4450,,,,go2eat@hotmail.com,,,LIVE COMPANY
607,201503773N,PIZZAFACE PTE. LTD.,PIZZAFACE PTE LTD,,,65 9278 0669,,,,amos@pizzaface.sg,,,LIVE COMPANY
608,200907794E,PONDOK JAWA TIMUR PTE. LTD.,PONDOK JAWA TIMUR PTE LTD,,,65 9799 6491,,,,pondokjt@gmail.com,,,LIVE COMPANY
609,202143121E,PUTRA DELICACIES PTE. LTD.,PUTRA DELICACIES PTE LTD,,,65 9009 2632,,,,putra.delicacies@gmail.com,,,LIVE COMPANY
610,201834283R,QI XIANG PTE. LTD.,QI XIANG PTE LTD,,,65 9633 1563,,,,Zenithneo@gmail.com, zenith@qixiang.sg,,LIVE COMPANY
611,200613633E,QUENTIN'S F&B (S) (PTE.) LTD.,QUENTIN'S F&B (S) PTE LTD,,,65 6348 0327,,,,aaron@quentins.com.sg, kristine@quentins.com.sg,,LIVE COMPANY
612,201127893C,RAILWAY OLD COFFEE FOOD POINT (PTE.) LTD.,RAILWAY OLD COFFEE FOOD POINT PTE. LTD,,,65 9197 8765,,,,railwayoldcoffee@gmail.com, advertisingmedia2014@gmail.com,,LIVE COMPANY
613,201003849W,RAINSHINE PTE. LTD.,RAINSHINE PTE LTD,,,65 9437 3944,,,,ray.thomas@rainshine.co,,,LIVE COMPANY
614,201202153N,REEDZ PTE. LTD.,REEDZ PTE LTD,,,65 9012 0573,,,,jenfi@reedzcafe.com,,,LIVE COMPANY
615,201415888D,REFUEL CAFE & EATERY PTE. LTD.,REFUEL CAFE & EATERY PTE LTD,,,65 9627 9589,,,,Sk@refuel.sg,,,LIVE COMPANY
616,202031374R,RELAX PTE. LTD.,RELAX PTE LTD,,,65 9067 8569,,,,relax6bistro@gmail.com,,,LIVE COMPANY
617,200706846N,RGC PTE. LTD.,RGC PTE LTD,,,65 9028 7343,,,,finance@riseandgrind.co,,,LIVE COMPANY
618,202035929Z,RICHTON CAFE PTE. LTD.,RICHTON CAFE PTE LTD,,,65 9388 9150,,,,richtoncafesg@gmail.com,,,LIVE COMPANY
619,200719958K,RISING DOUGH PTE. LTD.,RISING DOUGH PTE LTD,,,65 8339 3165,,,,len@lioncitysubs.com,,,LIVE COMPANY
620,201324390N,ROLLING RICE SINGAPORE PTE. LTD.,ROLLING RICE SINGAPORE PTE LTD,,,65 8518 0457,,,,htdoa@naver.com,,,LIVE COMPANY
621,200605399W,RONG LIANG RESTAURANTS PTE. LTD.,RONG LIANG RESTAURANTS PTE LTD,,,65 8156 0753,,,,chingmeauhwai@yahoo.com,,,LIVE COMPANY
622,202201747C,RYO YAKINIKU PTE. LTD.,RYO YAKINIKU,,,65 9012 5760,,,,Yakinikubros@gmail.com,,,LIVE COMPANY
623,201625295C,SAIUN PTE. LTD.,SAIUN PTE LTD,,,65 9179 7088,,,,seanyboymccully@yahoo.com.sg,,,LIVE COMPANY
624,202139581Z,SARAWAK DELICACY PTE. LTD.,SARAWAK DELICACY PTE LTD,,,65 8825 5910,,,,sarawakdelicacypteltd@gmail.com,,,LIVE COMPANY
625,200723520G,SARI RATU RESTAURANT & CATERING PTE. LTD.,SARI RATU RESTAURANT AND CATERING PTE LTD,,,65 9001 9960,,,,sariratu20@gmail.com,,,LIVE COMPANY
626,200209140W,PEACH GARDEN PTE. LTD.,PEACH GARDEN PTE LTD,,,65 6887 8292,,,,Cindy_yeo@select.com.sg, szehwei_loh@select.com.sg, ap@select.com.sg,LIVE COMPANY
627,202306717H,SEMBAWANG EATING HOUSE (SEAFOOD RESTAURANT) PTE. LTD.,SEMBAWANG EATING HOUSE (SEAFOOD RESTAURANT),,,65 9758 6878,,,,sehseafoods@gmail.com,,,LIVE COMPANY
628,201734357M,SGTAPS PTE. LTD.,SGTAPS PTE LTD,,,65 9815 4420,,,,hirosenorihito@gmail.com,,,LIVE COMPANY
629,201013999N,SHILOH REMNANT PTE. LTD.,SHILOH REMNANT PTE LTD,,,65 6338 3886,,,,sarah@remnants.com.sg,,,LIVE COMPANY
630,202128393K,SHINSHO RAMEN GRID PTE. LTD.,SHINSHO RAMEN GRID PTE LTD,,,65 9296 5861,,,,shinshoramensingapore@gmail.com,,,LIVE COMPANY
631,202037544E,SHINSHO RAMEN PTE. LTD.,SHINSHO RAMEN PTE LTD,,,65 9296 5861,,,,raymondtan@murasaki.sg,,,LIVE COMPANY
632,201128685W,SHIVSHIL CUISINE PTE. LTD.,SHIVSHIL CUISINE PTE LTD,,,65 9365 5577,,,,siva@siamsensation.com, saytoshilpa@yahoo.com.sg,,LIVE COMPANY
633,201635165G,SHOWA HAKATA RAMEN & IZAKAYA PTE. LTD.,SHOWA HAKATA RAMEN & IZAKAYA PTE LTD,,,65 8421 2336,,,,prayer7615@aol.com,,,LIVE COMPANY
634,201841423W,HAPPY BOWL PTE. LTD.,HAPPY BOWL PTE LTD,,,65 9796 6669,,,,Ashleytan00@hotmail.com,,,LIVE COMPANY
635,201720344D,SIAM VILLAGE PTE. LTD.,SIAM VILLAGE PTE LTD,,,65 9181 3478,,,,Kenn28chen@gmail.com,,,LIVE COMPANY
636,201204593R,SIART PTE. LTD.,SIART PTE LTD,,,65 9673 3364,,,,Chan@siartdesign.com,,,LIVE COMPANY
637,201935141H,SINGAPORE YING KE LAI F&B MANAGEMENT PTE. LTD.,SINGAPORE YING KE LAI F&B MANAGEMENT PTE LTD,,,65 9619 5658,,,,gexiaozlz@gmail.com,,,LIVE COMPANY
638,201818589N,SKYDD PTE. LTD.,SKYDD PTE LTD,,,65 8399 0945,,,,ohsomebowls@gmail.com,,,LIVE COMPANY
639,201841550W,SOCIETEA PTE. LTD.,SOCIETEA PTE LTD,,,65 9668 0789,,,,Societeasingapore@gmail.com,,,LIVE COMPANY
640,201933546H,SOI NINETEEN PLUS (UPPER THOMSON) PTE. LTD.,SOI NINETEEN PLUS (UPPER THOMSON) PTD LTD,,,65 8692 2360,,,,clairengsiew@gmail.com,,,LIVE COMPANY
641,200718147N,SPIZE BEDOK PTE. LTD.,SPIZE BEDOK PTE LTD,,,65 9733 1442,,,,anil@spize.com.sg, accounts@spize.com.sg, mari@spize.com.sg,LIVE COMPANY
642,201805284H,SRI AACHI AAPPAKADAI PTE. LTD.,SRI AACHI AAPPAKADAI PTE. LTD,,,65 9482 0439,,,,senthil.chansen@gmail.com, multienergysavings@gmail.com,,LIVE COMPANY
643,202001542K,SRI SUBAM EXPRESS PTE. LTD.,SRI SUBAM EXPRESS PTE LTD,,,65 9178 8444,,,,Kubesbistro@gmail.com,,,LIVE COMPANY
644,200501138M,STAMFLES INTERNATIONAL PTE. LTD.,STAMFLES INTERNATIONAL PTE LTD,,,65 9799 9972,,,,evelyn@stamfles.com,,,LIVE COMPANY
645,201130958D,SUNPARK SINGAPORE PTE. LTD.,SUNPARK SINGAPORE P/L,,,65 9741 2706,,,,ariel@sunpark.ne.jp,,,LIVE COMPANY
646,201626171N,HANH NGUYEN FOOD PTE. LTD.,HANH NGUYEN FOOD PTE LTD,,,65 9152 6622,,,,super.ngon.sg@gmail.com,,,LIVE COMPANY
647,200312786H,SURIYA INTERNATIONAL EMPORIUM PTE. LTD.,SURIYA INTERNATIONAL EMPORIUM PTE LTD,,,65 8261 9994,,,,Kumaragurup@yahoo.com.sg,,,LIVE COMPANY
648,201609264C,SUTHA'S CAFE PTE. LTD.,SUTHA'S CAFE PTE LTD,,,65 9111 0284,,,,shanshanmugam9@gmail.com,,,LIVE COMPANY
649,201918937K,SWQ PTE. LTD.,SWQ PTE LTD,,,65 8685 2025,,,,Cherylsou@gmail.com,,,LIVE COMPANY
650,201720409C,TABLE AT 7 PTE. LTD.,TABLE AT 7 PTE LTD,,,65 8382 7862,,,,kc@tableat7.com,,,LIVE COMPANY
651,53509556B,TAVERN,TANG TAVERN,,,65 8180 6807,,,,tangtavern@gmail.com,,,LIVE
652,201100304N,TASTEBUD FOODCOURT PTE. LTD.,TASTEBUD FOODCOURT PTE LTD,,,65 9855 5639,,,,accmarcom@micro2000.com.sg,,,LIVE COMPANY
653,202245317D,TERRAFOLKS AND FOODS PTE. LTD.,TERRAFOLKS AND FOODS PTE LTD,,,65 9109 7929,,,,bowlchap@outlook.com,,,LIVE COMPANY
654,201715563K,THAI TEMPTATIONS PTE. LTD.,THAI TEMPTATIONS PTE LTD,,,65 8342 7367,,,,balaji@gingerthai.sg,,,LIVE COMPANY
655,201630898W,THE BAKER'S PTE. LTD.,THE BAKER'S PTE LTD,,,65 9797 9848,,,,info@thebakers.com.sg,,,LIVE COMPANY
656,200400666C,THE BARK CAFE PTE. LTD.,THE BARK CAFE PTE LTD,,,65 9620 7518,,,,russell@thebarkcafe.com, carol_sun07@hotmail.com,,LIVE COMPANY
657,202006620Z,THE BETTERFIELD SG (PTE. LTD.),THE BETTERFIELD PTE LTD,,,65 9386 3106,,,,multienergysavings@gmail.com,,,LIVE COMPANY
658,201506121K,FRESH BAY (S) INVESTMENTS PTE. LTD.,FRESH BAY (S) INVESTMENTS PTE LTD,,,65 9484 3259,,,,Charan@thedempseyproject.com,,,LIVE COMPANY
659,201000877E,THE GREEN BAR PTE. LTD.,THE GREEN BAR PTE LTD,,,65 9690 7660,,,,penny.lim@superfoodkitchen.sg, caryn.lim@superfoodkitchen.sg,,LIVE COMPANY
660,201609961K,THE HAPPY FLOWERS PTE. LTD.,THE HAPPY FLOWERS PTE LTD,,,65 9829 6453,,,,accounts.yimlee@njgroup.sg,,,LIVE COMPANY
661,202108207H,THE ITALIAN ALLIANCE PTE. LTD.,THE ITALIAN ALLIANCE PTE LTD,,,65 9005 9739,,,,beeling@rubato.sg, nesh@rubato.sg,,LIVE COMPANY
662,53492709B,LITTLE MYANMAR SG,THE LITTLE MYANMAR PTE LTD,,,65 9129 2598,,,,chenyuxin1209@gmail.com, advertisingmedia2014@gmail.com,,LIVE
663,201220758Z,RIVERSIDE & COURTYARD (INTERNATIONAL) PTE. LTD.,RIVERSIDE & COURTYARD (INTERNATIONAL) PTE LTD,,,65 9737 4063,,,,finance@minorfoodsingapore.com,,,LIVE COMPANY
664,201427116C,THE PECKING ORDER PTE. LTD.,THE PECKING ORDER PTE LTD,,,65 9099 7844,,,,adam@tpo.com.sg,,,LIVE COMPANY
665,200309183E,THE ROYALS (PREMIUM CAKES) PTE. LTD.,THE ROYALS (PREMIUM CAKES) PTE LTD,,,65 9796 6111,65 9092 5013,,,Joy@Royalcakes.com,,,LIVE COMPANY
666,202112447H,THE S COLLECTIVE PTE. LTD.,THE S COLLECTIVE PTE LTD,,,65 9092 1993,,,,shermainek@live.com,,,LIVE COMPANY
667,200511676M,THE SONG OF INDIA PTE. LTD.,THE SONG OF INDIA PTE LTD,,,65 9100 5612,,,,terese@songofindia.com.sg,,,LIVE COMPANY
668,201213528D,THE SOUTHBRIDGE HOTEL PTE. LTD.,THE SOUTHBRIDGE HOTEL,,,65 6222 2288,,,,reservation@thesouthbridgehotel.com,,,LIVE COMPANY
669,202119148K,THE WANGS GROUP PTE. LTD.,THE WANGS GROUP PTE LTD,,,65 9438 5105,,,,ops@thewangsgroup.sg, admin@thewangsgroup.sg,,LIVE COMPANY
670,201631865D,TIAN WEI SIGNATURE PTE. LTD.,TIAN WEI SIGNATURE PTE LTD,,,65 8908 1070,,,,zhenyi@herloconsultancy.com,,,LIVE COMPANY
671,201530112E,PAPANDA GROUP PTE. LTD.,PAPANDA GROUP PTE LTD,,,65 9383 0429,,,,info@papanda.com.sg,,,LIVE COMPANY
672,202329256C,TITTLE TATTLE (SG) PTE. LTD.,TITTLE TATTLE,,,65 9030 3576,,,,tittletattlesg@gmail.com,,,LIVE COMPANY
673,201804548H,TWENTY EIGHT CAFE PTE. LTD.,TWENTY EIGHT CAFE PTE LTD,,,65 9119 9791,,,,280106@twentyeightcafe.com,,,LIVE COMPANY
674,200608485E,UMINOIE NIHON RYORI PTE. LTD.,UMINOIE NIHON RYORI PTE LTD,,,65 9106 5098,,,,uminoie.hakata@gmail.com,,,LIVE COMPANY
675,201715029M,VERVE CQ PTE. LTD.,VERVE CQ PTE LTD,,,65 9799 2838,,,,hr@verve.sg,,,LIVE COMPANY
676,202128597D,WELL COLLECTIONS PTE. LTD.,WELL COLLECTIONS PTE LTD,,,65 9187 4142,,,,admin@botany.com.sg,,,LIVE COMPANY
677,201940607M,WIN NOODLES PTE. LTD.,WIN NOODLES PTE LTD,,,65 9843 6873,,,,jason.lin@winfood.sg,,,LIVE COMPANY
678,201024614H,WINDSOR F&B PTE. LTD.,WINDSOR F&B PTE LTD,,,65 8900 5594,,,,jiexin@romar.com,,,LIVE COMPANY
679,201537878D,WISEMEN ENTERTAINMENT PTE. LTD.,WISEMEN ENTERTAINMENT PTE LTD,,,65 8388 0320,,,,Nelsonng90@hotmail.com,,,LIVE COMPANY
680,202039866H,WOKHAUS PTE. LTD.,WOKHAUS PTE LTD,,,65 9029 8917,,,,prabhakar_a@yahoo.com,,,LIVE COMPANY
681,201001662E,YEDAM PTE. LTD.,YEDAM PTE LTD,,,65 8452 1677,,,,salth0107@naver.com,,,LIVE COMPANY
682,200908815E,YOVEL REMNANT PTE. LTD.,YOVEL REMNANT PTE LTD,,,65 6456 5058,,,,sarah@remnants.com.sg,,,LIVE COMPANY
683,201710515G,ZAI LAI 88 PTE. LTD.,ZAI LAI 88 PTE LTD,,,65 9225 9456,,,,shawnkoh247@gmail.com,,,LIVE COMPANY
684,201930774E,ZIG ENTERPRISES PTE. LTD.,ZIG ENTERPRISES PTE LTD,,,65 9892 7145,,,,m.sathik9892@gmail.com,,,LIVE COMPANY
685,200812013D,ZION REMNANT PTE. LTD.,ZION REMNANT PTE LTD,,,65 6844 9938,,,,accounts-admin@remnants.com.sg,accounts-supp@remnants.com.sg,,LIVE COMPANY
686,201023359N,28 HONGKONG STREET PTE. LTD.,28 HONGKONG STREET - RAP,,,65 6533 2001,,,,logan@28hks.com,,,LIVE COMPANY
687,201205537Z,49 SEATS PTE. LTD.,49 SEATS,,,65 6225 4332,,,,leonard@49seats.com,,,LIVE COMPANY
688,T10LL1271C,K-BAR CAFE LLP,8 CAFE & BAR,,,65 6220 4513,65 9380 6370,,,8cafebar@gmail.com,,,LIVE
689,53439467A,ADRIFT GIFT,ADRIFT,,,65 6688 5657,,,,queries@adrift.com.au,,,LIVE
690,201112783N,ALFERO ARTISAN GELATO PTE. LTD.,ALFERO ARTISAN GELATO,,,65 6702 6322,,,,bennyng@alferogelato.com,,,LIVE COMPANY
691,199503909Z,ALLEY BAR PTE. LTD.,ALLEY BAR,,,65 6732 6966,,,,mark@peranakanplace.com,,,LIVE COMPANY
692,201223969C,HOUSE OF AMBER NECTAR PTE. LTD.,AMBER NECTAR,,,65 6737 3774,,,,randy@amber.nectar.com.sg,,,LIVE COMPANY
693,201529830Z,ANGELENO PTE. LTD.,ANGELENO (SG),,,48 656221698,,,,info@angeleno.com.sg,,,LIVE COMPANY
694,53317094W,BY AOKI,AOKI,,,65 6333 8015,,,,ruziq@lesamis.com.sg, aoki@lesamis.com.sg,,LIVE
695,200719362K,ANANAS CAFE PTE. LTD.,ANANAS CAFÉ,,,65 9800 5633,,,,info@ananas.cafe,,,LIVE COMPANY
696,42577200D,ANANDA BHAVAN CATERING,ANANDA BHAVAN ,,,65 6299 4466,,,,admin@anandabhavan.com, catering@anandabhavan.com, hr@anandabhavan.com,LIVE
697,202442250C,A ANDHRA CURRY PTE. LTD.,ANDHRA CURRY,,,65 8121 9993,,,,andhracurry@hotmail.com,,,LIVE COMPANY
698,200904469H,AROMAS OF INDIA PTE. LTD.,AROMAS OF INDIA,,,65 6256 2448,65 6256 2448,,,info@aoi.com.sg,,,LIVE COMPANY
699,201407633K,ARTEMIS GRILL PTE. LTD.,ARTEMIS GRILL,,,65 6635 8677,,,,enquiries@artemisgrill.com.sg,,,LIVE COMPANY
700,202526388N,ASSEMBLY COFFEE HOUSE PRIVATE LIMITED,ASSEMBLY COFFEE,,,65 6735 5647,65 6733 3375,,,daphne@assembly.sg,,,LIVE COMPANY
701,200209535W,AUNTIE KIM'S KOREAN RESTAURANT PTE. LTD.,AUNTIE KIM'S KOREAN RESTAURANT,,,65 6452 2112,,,,rosejjang421@gmail.com,,,LIVE COMPANY
702,202404218W,ROCHESTER HOLDING PTE. LTD.,B @ ROCHESTER,,,65 6778 1788,,,,-,,,LIVE COMPANY
703,200801718E,BADOQUE (S) CAFE PTE. LTD.,BADOQUE CAFE,,,65 6446 6928,,,,-,,,LIVE COMPANY
704,52930688C,BALACLAVA,BALACLAVA (SG),,,65 6336 0050,,,,james@balaclava.com.sg,,,LIVE
705,201534247W,ATMOSPHERE BISTRO PTE. LTD.,ATMOSPHERE BISTRO & BAR ,,,65 6702 4906,,,,chiamwl@shin-sappororamen.com,,,LIVE COMPANY
706,200617765E,AZMI RESTAURANT PTE. LTD.,AZMI RESTAURANT,,,65 9428 0203,,,,azmirestaurant@yahoo.com,,,LIVE COMPANY
707,199804858E,BEPPU MENKAN RESTAURANT (SINGAPORE) PTE LTD,BEPPU MENKAN DINING RESTAURANT,,,65 6438 0328,,,,beppu98@gmail.com,,,LIVE COMPANY
708,202039842Z,L BISTRO PRIVATE LIMITED,BISTRO,,,65 6546 5229,,,,admin@changibistro.com.sg,,,LIVE COMPANY
709,201131116K,ONION RESTAURANT & BAR PTE. LTD.,ONION RESTAURANT,,,65 6757 8859,,,,kelvin@onionrestaurant.sg,,,LIVE COMPANY
710,200416172N,BLISS GARDEN RESTAURANT PTE. LTD.,BLISS GARDEN RESTAURANT,,,65 6789 1313,,,,-,,,LIVE COMPANY
711,198403931C,BILLY BOMBERS DINER PTE. LTD.,BILLY BOMBERS,,,65 9455 2204,65 6684 9345,,,,,,LIVE COMPANY
712,201323413D,CAFE ETC. PTE. LTD.,CAFÉ ETC. ,,,65 6256 2848,,,,cafeetc2013@gmail.com,,,LIVE COMPANY
713,201129409G,CANDLENUT INVESTMENT PTE. LTD.,CANDLENUT,,,65 8121 4107,,,,enquiry@candlenut.com.sg, customerservice@comodempsey.sg,,LIVE COMPANY
714,201104102H,CHAITIME PTE. LTD.,CHAITIME ,,,65 9698 8322,,,,chaitime2017@gmail.com,,,LIVE COMPANY
715,53412111W,SG CHICKEN,CHICKEN UP (SG),,,65 6327 1203,65 6481 4495,,,luke@chicken-up.com, sales@chicken-up.com,,LIVE
716,201329635W,CHIKARANOMOTO GLOBAL HOLDINGS PTE. LTD.,CHIKARANOMOTO GLOBAL HOLDINGS PTE LTD,,,65 6733 2426,,,,yoshitosano@chikaranamoto.com, enquiries@ippudo.com.sg,,LIVE COMPANY
717,53427687C,HUAT SEAFOOD RESTAURANT,CHIN HUAT LIVE SEAFOOD RESTAURANT,,,65 6775 7348,,,,enquiries@chinhuatliveseafood.sg, enquires@chinhuatliveseafood.sg,,LIVE
718,202031486E,CHO OMAKASE PTE. LTD.,CHO OMAKASE,,,65 6532 2098,,,,reservations@cho.sg,,,LIVE COMPANY
719,53168095M,THE CHUPITOS BAR,CHUPITOS BAR,,,65 6333 4513,65 6295 0017,,,jamie@thebeast.sg, info@thebeast.sg,,LIVE
720,201314461D,COFFEE ANATOMY PTE. LTD.,COFFEE ANATOMY,,,65 9685 8187,,,,coffeeanatomy@iinet.net.au,,,LIVE COMPANY
721,201405331M,COFFEE BANDITS PTE. LTD.,COFFEE BANDITS ,,,65 9214 5678,,,,catchme@coffeebandits.sg,,,LIVE COMPANY
722,201333416N,ONE MAN COFFEE PTE. LTD.,ONE MAN COFFEE  ,,,65 9757 8337,,,,support@crustpizza.com.sg,,,LIVE COMPANY
723,201404024M,K-BELL PTE. LTD.,D'BELL,,,65 6536 4046,,,,reservation@dbell.sg,,,LIVE COMPANY
724,201314608M,COCOA COLONY PTE. LTD.,COCOA COLONY ,,,65 6268 6157,,,,info@cocoacolony.sg,,,LIVE COMPANY
725,201330059K,CROSTA PIZZA PTE. LTD.,CROSTA PIZZA,,,65 6295 5505,,,,crostapizza@gmail.com,,,LIVE COMPANY
726,201622361E,DRINKS & CO PTE. LTD.,DRINKS & CO. BAR,,,65 6222 2005,,,,info@drinksandco.asia, richard@drinksandco.asia,,LIVE COMPANY
727,53201056J,EDMUND SERVICES,EDMUND'S,,,61 395009995,,,,,,,LIVE
728,201914415E,THE EMPRESS PTE. LTD.,EMPRESS,,,65 6238 8733,,,,jack@prive.com.sg,,,LIVE COMPANY
729,201300157H,L.ELEMENTS PTE. LTD.,ELEMENTS & CO,,,65 6632 0447,,,,contact@elementsandco.com.sg,,,LIVE COMPANY
730,201330079R,ELIXIR JUICE PTE. LTD.,ELIXIR JUICE,,,65 9106 2682,65 9654 1523,,,elixircold@gmail.com,,,LIVE COMPANY
731,200206965E,FINE PALATE PTE. LTD.,FINE PALATE CAFE,,,65 6463 1671,,,,cafe@finepalate.com.sg,,,LIVE COMPANY
732,201615706M,FIVE BY FIVE PTE. LTD.,FIVE BY FIVE,,,65 6452 7449,,,,enquiry@fivebyfive.sg,,,LIVE COMPANY
733,198000924W,FOSTER & RED PTE LTD,FOSTER,,,65 6466 8939,,,,fosters_restaurant@yahoo.com.sg,,,LIVE COMPANY
734,201939862M,U FRESH PTE. LTD.,FRESH,,,65 8828 7084,,,,contact@ohsofresh.com.sg,,,LIVE COMPANY
735,53289641J,FRUIT PARADISE,FRUIT PARADISE FRUIT TART SHOP,,,65 6844 9375,,,,feedback@jfh.com.sg,,,LIVE
736,T11LL0863E,K BAR & RESTAURANT LLP,G-ONE RESTAURANT & BAR,,,65 6438 1553,,,,-,,,LIVE
737,201219418N,GREENLEAF CAFE PTE. LTD.,GREENLEAF CAFÉ,,,65 6291 1171,65 9783 7476,,,greenleafcafe43@gmail.com,,,LIVE COMPANY
738,201023270G,GREENWITCH PTE. LTD.,GREENWITCH,,,65 6784 0628,,,,,,,LIVE COMPANY
739,202343362D,SG GYOZA PTE. LTD.,GYOZA-YA,,,65 6737 5581,,,,-,,,LIVE COMPANY
740,200408426M,REINS INTERNATIONAL (SINGAPORE) PTE. LTD.,REINS INTERNATIONAL,,,65 9759 1840,65 6238 1002,,,yukihiko.hinooka@reins.co.jp,,,LIVE COMPANY
741,202201782W,JO JAPANESE RESTAURANT PTE. LTD.,HANA JAPANESE RESTAURANT,,,65 6273 0288,,,,elaine@hana.com.sg,,,LIVE COMPANY
742,201300308E,HANOI PHO F&B PTE. LTD.,HANOI PHO,,,65 9855 0362,,,,jennymac@hanoipho.sg,,,LIVE COMPANY
743,200403587M,HARILELA HOSPITALITY PTE. LTD.,HARILELA HOSPITALITY,,,65 6733 8333,,,,christopher.lee@harilela.com,,,LIVE COMPANY
744,201416647H,EAT AT SEVEN PTE. LTD.,EAT AT SEVEN  ,,,65 6339 1440,,,,,,,LIVE COMPANY
745,201535730W,GODHULI SANJH PTE. LTD.,GODHULI SANJH,,,65 8111 2011,,,,,,,LIVE COMPANY
746,200616498R,INDIAN HOUSE PTE. LTD.,INDIAN HOUSE,,,65 6438 4971,65 8198 9545,,,cuisineindianhouse@gmail.com,,,LIVE COMPANY
747,201212740N,HOKKAIDO SUSHI PTE. LTD.,HOKKAIDO SUSHI RESTAURANT,,,65 6221 3075,,,,HokkaidoFineDining@gmail.com,,,LIVE COMPANY
